smiles,capacity_max,flatness,PS,symmetry,%C,%N,%O,MolLogP,num_atoms,num_bonds,num_aromatic_rings,num_heteroatoms,num_rotatable_bonds,num_h_acceptors,num_h_donors,tpsa,mol_wt,experts_data
N#CCC[N+]1=CN(CC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(C(F)(F)F)F)=O)(C(F)(C(F)(F)F)F)=O.O=S([N-]S(=O)(C(F)(C(F)(F)F)F)=O)(C(F)(C(F)(F)F)F)=O,154.0,1.29832966000148,1.7745529243316605,C1,35.483870967741936,12.903225806451612,12.903225806451612,5.051960000000005,62,61,2,40,15,16,0,229.95999999999992,1029.9811079360002,False
N#CCC[N+]1=CN(CC[N+]2=CN(CCC#N)C=C2)C=C1.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O.O=S([N-]S(=O)(C(F)(F)F)=O)(C(F)(F)F)=O,131.0,1.2561264065355788,1.9500769530592774,C1,36.0,16.0,16.0,2.510760000000001,50,49,2,32,11,16,0,229.95999999999992,829.9938821760002,False
NC1=CC=CC=C1,386.2,0.24623832780556915,0.8016675428853711,C2v,85.71428571428571,14.285714285714285,0.0,1.2688000000000001,7,7,1,1,0,1,2,26.02,93.057849224,False
NC1=NC(N=CC2=CC=C(C=O)C=C2)=NC(N)=N1,289.0,0.9826761846850834,1.8237858819078039,C1,61.111111111111114,33.33333333333333,5.555555555555555,0.5990999999999999,18,19,2,7,3,7,4,120.14,242.09160894,False
O=C(C1=C(C(O[K])=O)C=CC=C1)O,300.4,0.10302038499849904,1.4399133741979067,C1,61.53846153846154,0.0,30.76923076923077,0.6251,13,13,1,5,2,4,1,63.60000000000001,203.98249032,False
O=C(C1=C2C=CC=C1)N(C3=CC=C(C#N)C=C3)N=C2C4=CC=C(C#N)C=C4,277.0,1.321296965286835,2.538456059072231,C1,81.48148148148148,14.814814814814813,3.7037037037037033,3.7960600000000024,27,30,4,5,2,5,0,82.47,348.101111004,False
O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,236.5,1.0210646672077393,1.2373330156163038,C1,42.857142857142854,0.0,50.0,-1.7835,14,14,0,8,1,7,2,110.13,213.99639423200003,False
O=C(O[Na])C(O[Na])=O,245.0,0.0001181839842450131,1.409962267836306,C2h,25.0,0.0,50.0,-1.7602000000000002,8,7,0,6,0,4,0,52.6,133.95919704,False
O=C([O-])C1=CC=C(C2=O[Zn]3OC(C4=CC=C(C([O-])=O)C=C4)=O[Zn+](O=C(O[Zn]5)C6=CC=C(C([O-])=O)C=C6)[O+4]35[Zn]O2)C=C1,312.0,0.9787868596509932,3.7963839057960236,C1,58.536585365853654,0.0,31.70731707317073,-1.064799999999999,41,46,3,17,12,13,0,181.97999999999996,763.74326208418,False
OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,378.5,0.7507090413891236,2.3806288398921254,C1,63.1578947368421,15.789473684210526,21.052631578947366,3.421400000000001,19,20,2,7,3,7,2,108.32000000000001,259.059305768,False
OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,175.2,1.308745017121187,2.1764509104705168,C1,60.0,0.0,32.0,0.5804,25,26,2,10,4,8,4,133.51999999999998,395.96498063999996,False
OC1=C(CC2=CC=CC=C2O)C=CC=C1,307.0,1.223074545303616,1.3867032825328391,C2,86.66666666666667,0.0,13.333333333333334,2.688600000000001,15,16,2,2,2,2,2,40.46,200.083729624,False
S=S=[Mo][NH2]C1=CC=CC=C1,552.0,0.7865501017845933,1.1981415045213386,C1,60.0,10.0,0.0,1.2615,10,10,1,4,1,1,2,17.1,254.907399424,False
Brc1ccc(Nc2nc(Nc3ccc(Br)s3)nc(Nc3ccc(Br)s3)n2)s1,407.0,0.024401499570716502,2.740099913324683,Cs,55.55555555555556,22.22222222222222,0.0,7.574400000000002,27,30,4,12,6,6,3,74.76,605.7600935880001,False
c1cc(-c2cc[n+](-c3nc(-[n+]4ccc(-c5ccncc5)cc4)nc(-[n+]4ccc(-c5ccncc5)cc4)n3)cc2)ccn1,196.0,1.0541997612434275,3.2467565050664016,C1,78.57142857142857,21.428571428571427,0.0,3.8877000000000024,42,48,7,9,6,9,0,88.98,546.2138210282701,False
Clc1nc(Cl)nc(-c2ccc(-c3cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)cc(-c4ccc(-c5nc(Cl)nc(Cl)n5)cc4)c3)cc2)n1,228.0,0.7487330862244844,3.798152211950628,C1,68.75,18.75,0.0,10.163999999999987,48,54,7,15,6,9,0,116.01,746.95815756,False
Nc1ccc2c(c1)C(=O)c1ccc(Nc3nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)nc(Nc4ccc5c(c4)C(=O)c4ccc(N)cc4C5=O)n3)cc1C2=O,468.0,0.7160608876477544,4.407568274836736,C1,75.0,15.0,10.0,6.175200000000004,60,69,7,15,6,15,9,255.24,789.208429584,False
Nc1nc(N)nc(/N=C/N2CCN(/C=N/c3nc(N)nc(N)n3)CC2)n1,335.0,1.100305216388302,2.944713145188431,C1,46.15384615384615,53.84615384615385,0.0,-1.9771999999999983,26,28,2,14,4,14,8,212.62,358.1838865760001,False
Nc1cc2nc3cc4nc5c6nc7cc8nc9cc(N)c(N)cc9nc8cc7nc6c6nc7cc8nc9cc(N)c(N)cc9nc8cc7nc6c5nc4cc3nc2cc1N,663.0,0.33505487902152464,4.216949589422305,C1,70.0,30.0,0.0,5.758200000000001,60,72,13,18,0,18,12,310.7999999999999,780.2431327679999,False
Nc1cccc2c(NC=C3C(=O)C(=CNc4cccc5c(N)cccc45)C(=O)C(=CNc4cccc5c(N)cccc45)C3=O)cccc12,379.0,1.5895673650066642,3.5998354137445148,C1,81.25,12.5,6.25,6.901500000000003,48,54,6,9,6,9,9,165.35999999999999,630.2379388200002,False
Nc1ccc(-c2ccc3[nH]c(-c4cc(-c5nc6ccc(-c7ccc(N)c(N)c7)cc6[nH]5)cc(N5C(=O)c6ccc7c8c(ccc(c68)C5=O)C(=O)N(c5cc(-c6nc8cc(-c9ccc(N)c(N)c9)ccc8[nH]6)cc(-c6nc8ccc(-c9ccc(N)c(N)c9)cc8[nH]6)c5)C7=O)c4)nc3c2)cc1N,66.56,4.144043363640195,6.43497197655673,C1,78.0,18.0,4.0,13.939799999999988,100,117,16,22,10,22,20,397.64,1306.4575422079997,False
