DOI,SMILES,Materials-2,Materials-note,Electrolyte,Voltage window (V),Specific surface area (m2/g),Capacitance (F/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig ,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %)
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-8,koh,0.9,803,,0.46,0.6,0.38,,0.84,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-9,koh,0.9,1007,147.2,0.62,0.6,0.46,,0.85,0,7.3,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-10,koh,0.9,966,,0.57,0.6,0.43,,0.85,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-9d,koh,0.9,1549,175.2,0.81,0.6,0.61,,0.86,0,8.5,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,MPC-9,koh,0.9,648,174.4,0.33,0.6,0.33,,0.83,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-6,teabf4 AN,2.7,524,,0.31,0.6,0.25,,0.8,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-7,teabf4 AN,2.7,637,,0.37,0.6,0.31,,0.82,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-8,teabf4 AN,2.7,803,,0.46,0.6,0.38,,0.84,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-9,teabf4 AN,2.7,1007,38,0.62,0.6,0.46,,0.85,0,7.3,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-10,teabf4 AN,2.7,966,,0.57,0.6,0.43,,0.85,0,,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,hpc-9d,teabf4 AN,2.7,1549,115,0.81,0.6,0.61,,0.86,0,8.5,,,,
10.1039/c5ra07807e,OC1=C(C(O)=CC=C1C(O[K])=O)CC2=C(O)C=CC(C(O[K])=O)=C2O,modified fenol-formaldehyde resin,MPC-9,teabf4 AN,2.7,648,1.9,0.33,0.6,0.33,,0.83,0,,,,,
10.1039/c5ra16104e,O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,subsequent NH3 treatment,n-hpc,lipf6 EC/DMC,2.7,1290,101,3.04,0.7,0.3,400,,3.6,,,,,
10.1039/c5ra16104e,O=C(CC(O)(C(O)=O)C1)O[Mg]OC1=O,subsequent NH3 treatment,hpc,lipf6 EC/DMC,2.7,1222,108,2.76,0.7,0.28,382,,,,,,,
