zwiazek,smiles,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD
"2,3,5,6-tetrafluoroterephtalonitrile",FC1=C(F)C(C#N)=C(F)C(F)=C1C#N,200.1,1,2,6,-432,0.7,0,1,400,19.9,1.3,1345,,,,379,,
tetracyanoquinodimethane,N#C/C(C#N)=C(C=C/1)/C=CC1=C(C#N)/C#N,204.2,1,4,6,745,0.9,0,1,800,8.13,0.9,3660,1.83,,,,,383
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-P",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=C4C=C(C(OC6=O)=O)C6=C5)=O)C=C3)=NC(C7=CC=C(N)C=C7)=N2,554.5,7,6,6,653,2.2,1,0,600,7.1,4.2,1651,0.77,0.6,,,,
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-P",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=C4C=C(C(OC6=O)=O)C6=C5)=O)C=C3)=NC(C7=CC=C(N)C=C7)=N2,554.5,7,6,6,653,2.2,1,0,700,6.3,4.2,1650,0.77,0.67,,423,,
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-N",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=CC=C6C7=C5C4=CC=C7C(OC6=O)=O)=O)C=C3)=NC(C8=CC=C(N)C=C8)=N2,604.6,8,6,6,783,2.2,1,0,600,11.4,4.2,1057,0.54,0.45,,,,
"2,4,6-tris(4-aminophenyl)-1,3,5-triazine, dianhydrate TPI-N",NC(C=C1)=CC=C1C2=NC(C3=CC=C(N(C4=O)C(C5=CC=C6C7=C5C4=CC=C7C(OC6=O)=O)=O)C=C3)=NC(C8=CC=C(N)C=C8)=N2,604.6,8,6,6,783,2.2,1,0,700,3,4.2,1237,0.65,0.46,,388,,
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,500,23.14,0.6,604,0.22,,,285.8,,
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,600,21.09,0.6,1099,0.61,,,340.1,,
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,700,12.96,0.6,2316,2.41,,,363.3,,
"2,6-pyridinedicarbonitrile",N#CC1=CC=CC(C#N)=N1,129.1,1,3,3,454,0.6,0,1,800,11.82,0.6,2795,2.85,,,406,,
"2,4,6-trichloro-1,3,5-triazine, 2,6-diaminanthraquinone",ClC1=NC(/N=C2=CC3=C(C(C(C=C(N)C=C4)=C4C3=O)=O)C=C\2)=NC(Cl)=N1,385.2,4,5,6,489,1.5,1,0,800,10.22,2.9,1993,,,,468,,
IISERP 10,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=CC(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,517.5,5,9,3,,2.1,1,0,120,,2,1233,,,,546,,
IISERP 11,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4)N=C3)=NC(C5=CN=C(N)C=C5)=N2,533.5,5,9,3,,2.1,1,0,120,,2,921,,,,310,,
IISERP 12,NC(N=C1)=CC=C1C2=NC(C3=CC=C(N=CC4=C(O)C(C=O)=C(O)C(C=O)=C4O)N=C3)=NC(C5=CN=C(N)C=C5)=N2,549.5,5,9,3,,2.1,1,0,120,,2,1067,,,,400,,
"9,10-dicyanoanthracene",N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,230.3,3,2,6,647,0.7,0,1,400,,1.3,406,,,,,,435
"9,10-dicyanoanthracene",N#CC1=C2C(C=CC=C2)=C(C#N)C3=CC=CC=C31,230.3,3,2,6,647,0.7,0,1,500,,1.3,751,,,,,,589
polyethynylbenzonitrile,C#CC(C=C1)=CC=C1C#N,127.1,1,1,2,484,0.8,1,1,800,5.8,,1954,0.74,0.31,,628,,
"1,3,6,8-tetracyanopyrene",N#CC1=C(C=CC2=C(C#N)C=C3C#N)C4=C2C3=CC=C4C(C#N)=C1,302.3,4,4,3,1019,1.1,1,0,500,,1.1,1019,1.12,,,,,500
