zwiazek,smiles_old,masa_molowa,liczba_pierscieni,srednia_liczba_N_w_pierscieniu,liczba_substratu_w_porze,energia Gibbsa,odleglosc_miedzy_najdalszymi_grupami,kondensacja,piroliza,temperatura,N_perc_triaz,wielkosc_pora teoretyczna,BET,objetosc,objetosc_mikroporow,pojemnosc_3_H2SO4_CV,pojemnosc_3_H2SO4_GCD,pojemnosc_3_NaOH_CV,pojemnosc_3_NaOH_GCD,,smiles
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,500,23.5,0.6,1120,0.5,0.45,,,,,,N#Cc4cncc(c3nc(c1cncc(C#N)c1)nc(c2cncc(C#N)c2)n3)c4
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,600,15.8,0.6,1940,0.93,0.8,,,,,,N#Cc4cncc(c3nc(c1cncc(C#N)c1)nc(c2cncc(C#N)c2)n3)c4
"3,5-dicyanopyridine",N#CC1=CC(C#N)=CN=C1,129.1,1,3,3,454,0.6,0,1,700,12.7,0.6,3120,1.66,1.08,,,,,,N#Cc4cncc(c3nc(c1cncc(C#N)c1)nc(c2cncc(C#N)c2)n3)c4
"cyanuric chloride, 2,6-diaminanthraquinone",ClC1=NC(Cl)=NC(NC2=CC3=C(C(C(C=C(N)C=C4)=C4C3=O)=O)C=C2)=N1,386.2,4,5,6,570,1.5,1,0,,,2.9,,,,,,,,,NC1=CC(C(C(C=C2)=C3C=C2NC4=NC(NC5=CC6=C(C=C5)C(C7=C(C6=O)C=CC(N)=C7)=O)=NC(NC8=CC9=C(C=C8)C(C%10=C(C9=O)C=CC(N)=C%10)=O)=N4)=O)=C(C3=O)C=C1
"cyanuric chloride, 4,4’-bipyridine",ClC1=NC([N+](C=C2)=CC=C2C3=CC=NC=C3)=NC(Cl)=N1,305.1,3,5,6,,1.2,1,0,900,5.4,2.4,684,0.52,0.3,,,,196,,C1([N+]2=CC=C(C3=CC=NC=C3)C=C2)=NC([N+]4=CC=C(C5=CC=NC=C5)C=C4)=NC([N+]6=CC=C(C7=CC=NC=C7)C=C6)=N1
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329,0.5,0,1,500,34.2,1,460,0.28,,,,,79,,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329,0.5,0,1,600,25.8,1,443,0.41,,,,,187,,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329,0.5,0,1,700,20.9,1,1293,0.71,,,,,404,,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329,0.5,0,1,800,16.5,1,1234,0.72,,,,,143,,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1
fumaronitrile,N#C/C=C/C#N,78.1,0,2,6,329,0.5,0,1,900,14,1,1268,0.71,,,,,220,,N#C/C=C/c1nc(/C=C/C#N)nc(/C=C/C#N)n1
